unix;low;high;open;close;volume;date
1443139200;209.61;212.76;210.58;211.07;469.16450173;2015-09-25 02:00:00;None
1443225600;209.48;211.2;211.06;210.25;240.41611787;2015-09-26 02:00:00;None
1443312000;208.8;210.23;210.0;209.4;288.33349261;2015-09-27 02:00:00;None
1443398400;209.05;215.19;209.43;214.7;1122.82988468;2015-09-28 02:00:00;None
1443484800;210.6;215.71;214.7;212.06;1181.48995394;2015-09-29 02:00:00;None
1443571200;210.59;213.46;211.94;212.31;414.11118708;2015-09-30 02:00:00;None
1443657600;212.06;214.61;212.26;213.63;563.22894325;2015-10-01 02:00:00;None
1443744000;211.2;213.85;213.63;212.87;393.98659488;2015-10-02 02:00:00;None
1443830400;212.33;214.94;212.87;214.8;187.28783;2015-10-03 02:00:00;None
1443916800;213.87;215.04;214.8;214.71;315.04059429;2015-10-04 02:00:00;None
1444003200;212.73;214.95;214.72;214.71;561.3899358;2015-10-05 02:00:00;None
1444089600;214.68;221.69;214.78;220.76;837.27100755;2015-10-06 02:00:00;None
1444176000;217.64;221.76;220.88;218.29;594.4760678;2015-10-07 02:00:00;None
1444262400;216.56;219.57;218.72;216.56;366.2924252;2015-10-08 02:00:00;None
1444348800;215.49;217.84;217.26;217.07;219.6403541;2015-10-09 02:00:00;None
1444435200;215.63;219.27;217.1;216.5;137.1432313;2015-10-10 02:00:00;None
1444521600;216.02;219.82;216.5;219.8;139.31650647;2015-10-11 02:00:00;None
1444608000;216.56;219.88;219.81;218.06;238.52709389;2015-10-12 02:00:00;None
1444694400;217.11;220.92;218.05;220.92;193.32200571;2015-10-13 02:00:00;None
1444780800;219.5;224.26;220.83;222.08;346.65458128;2015-10-14 02:00:00;None
1444867200;221.49;225.38;222.07;224.26;333.80701679;2015-10-15 02:00:00;None
1444953600;224.12;239.39;224.25;231.92;765.56124197;2015-10-16 02:00:00;None
1445040000;231.67;243.49;232.65;238.7;1069.81724396;2015-10-17 02:00:00;None
1445126400;228.78;240.53;239.14;233.98;510.88781661;2015-10-18 02:00:00;None
1445212800;231.66;237.52;233.98;234.57;462.47599367;2015-10-19 02:00:00;None
1445299200;233.49;238.7;234.57;237.54;138.17976221;2015-10-20 02:00:00;None
1445385600;233.98;238.12;237.31;236.13;128.89839169;2015-10-21 02:00:00;None
1445472000;236.26;247.12;236.26;246.82;226.64687166;2015-10-22 02:00:00;None
1445558400;246.9;250.5;246.92;250.33;77.49899357;2015-10-23 02:00:00;None
1445644800;250.28;255.19;250.33;255.19;239.64621135;2015-10-24 02:00:00;None
1445731200;251.16;266.51;255.19;258.74;521.74837128;2015-10-25 02:00:00;None
1445817600;256.49;258.66;258.66;257.99;30.91350167;2015-10-26 01:00:00;None
1445904000;258.62;267.95;258.62;266.53;289.11979964;2015-10-27 01:00:00;None
1445990400;266.99;277.6;266.99;277.6;698.88957277;2015-10-28 01:00:00;None
1446076800;278.0;292.33;278.0;288.02;211.79239105;2015-10-29 01:00:00;None
1446163200;287.45;306.17;288.3;299.84;328.99796588;2015-10-30 01:00:00;None
1446249600;281.71;303.6;301.0;286.5;7564.69042326;2015-10-31 01:00:00;None
1446336000;279.7;299.99;286.48;299.99;56.73168094;2015-11-01 01:00:00;None
1446422400;287.24;332.99;298.71;330.0;181.70388115;2015-11-02 01:00:00;None
1446508800;328.23;378.0;329.98;368.52;504.43173276;2015-11-03 01:00:00;None
1446595200;351.0;458.52;370.0;375.13;1653.10699236;2015-11-04 01:00:00;None
