unix;low;high;open;close;volume;date
1535587200;233.94;249.07;247.12;244;11567.73442344;2018-08-30 02:00:00
1535673600;238.09;245;243.94;242.79;8889.26550061;2018-08-31 02:00:00
1535760000;242.75;260.24;242.75;254.62;9146.97490146;2018-09-01 02:00:00
1535846400;250.01;257.66;254.62;254.61;5922.52749119;2018-09-02 02:00:00
1535932800;246.3;255.87;254.62;248.81;10431.24620038;2018-09-03 02:00:00
1536019200;244.57;253;248.82;247.03;10777.80575032;2018-09-04 02:00:00
1536105600;194.54;248.29;246.8;196.72;37706.88040152;2018-09-05 02:00:00
1536192000;182.21;200.16;196.11;197.46;27536.87579125;2018-09-06 02:00:00
1536278400;185.01;201.49;197.46;186.9;16139.65598116;2018-09-07 02:00:00
1536364800;166;191.28;187.46;171.12;19078.79521378;2018-09-08 02:00:00
1536451200;161.73;181;171.27;169.1;20076.46811388;2018-09-09 02:00:00
1536537600;161.16;175.42;169.95;169.96;17789.496701;2018-09-10 02:00:00
1536624000;151.5;172.63;170;159.99;25830.17239313;2018-09-11 02:00:00
1536710400;144.44;159.99;159.64;157.78;40438.48062981;2018-09-12 02:00:00
1536796800;157.78;184.27;157.78;180.64;51423.45506537;2018-09-13 02:00:00
1536883200;173.42;192.3;181.01;180.79;38304.31260471;2018-09-14 02:00:00
1536969600;179.98;198.47;180.78;192.04;14142.88560943;2018-09-15 02:00:00
1537056000;180.1;193.21;192.02;189.27;11586.43999797;2018-09-16 02:00:00
1537142400;164.46;193.46;189.27;168.85;30969.14405721;2018-09-17 02:00:00
1537228800;166.68;184.19;168.85;179.18;21008.03839888;2018-09-18 02:00:00
1537315200;169.21;184;179.01;179.98;18916.83218574;2018-09-19 02:00:00
1537401600;176.21;193.24;179.93;191.17;17479.83951406;2018-09-20 02:00:00
1537488000;188.01;215.6;191.24;211.93;36910.23517577;2018-09-21 02:00:00
1537574400;198;217;211.91;204.86;16148.52969596;2018-09-22 02:00:00
1537660800;202.46;211.84;204.86;208.81;10358.81059213;2018-09-23 02:00:00
1537747200;191.75;209.7;208.82;194.61;18468.92599768;2018-09-24 02:00:00
1537833600;173.1;194.38;194.38;186.85;31901.06726173;2018-09-25 02:00:00
1537920000;177;189.9;186.86;182.71;18214.79315774;2018-09-26 02:00:00
1538006400;180.65;201.79;182.93;196.79;24519.22497983;2018-09-27 02:00:00
1538092800;185.62;200.78;196.87;191.32;19161.39198359;2018-09-28 02:00:00
1538179200;183.93;203.61;191.32;199.8;16704.1473225;2018-09-29 02:00:00
1538265600;194.86;205.84;199.79;200.32;12279.47943822;2018-09-30 02:00:00
1538352000;193.4;202.56;200.63;199.66;12659.67129345;2018-10-01 02:00:00
1538438400;192.79;199.95;199.83;195.3;9291.26863778;2018-10-02 02:00:00
1538524800;186.26;195.27;195.27;191.49;16561.03105513;2018-10-03 02:00:00
1538611200;190.44;196.46;191.49;192.14;8727.48245144;2018-10-04 02:00:00
1538697600;190.5;199.8;192.69;197.89;8374.54800714;2018-10-05 02:00:00
1538784000;193.6;197.99;197.57;194.27;4948.75080753;2018-10-06 02:00:00
1538870400;192.24;196.14;194.28;195.1;5275.89975543;2018-10-07 02:00:00
1538956800;194.19;200.84;195.29;198.97;11135.82820132;2018-10-08 02:00:00
1539043200;197.11;200;198.97;197.69;8094.48113018;2018-10-09 02:00:00
1539129600;192.61;197.69;197.68;194.52;8674.34015716;2018-10-10 02:00:00
1539216000;160.55;194.52;194.52;163.26;40946.96144559;2018-10-11 02:00:00
1539302400;161.11;171.65;162.69;168.7;13076.3252376;2018-10-12 02:00:00
1539388800;168.14;173.99;168.7;171.77;6224.67863734;2018-10-13 02:00:00
1539475200;164.62;173.11;171.76;166.55;7469.93971961;2018-10-14 02:00:00
1539561600;165.44;191.67;166.66;177.06;24630.60604183;2018-10-15 02:00:00
1539648000;175;181.27;177.06;178.06;9120.78939424;2018-10-16 02:00:00
1539734400;175.32;178.86;178.06;177.19;8377.95550387;2018-10-17 02:00:00
1539820800;172;178;177.2;174.49;8143.31844202;2018-10-18 02:00:00
1539907200;172.98;175.97;174.47;174.7;5984.00789658;2018-10-19 02:00:00
1539993600;174;177.83;174.7;176.93;4103.7892427;2018-10-20 02:00:00
1540080000;175.5;178.96;176.62;175.79;4341.25424984;2018-10-21 02:00:00
1540166400;174.78;176.8;175.79;176.05;6345.89497715;2018-10-22 02:00:00
1540252800;173.28;176.6;176.1;175.83;8168.99325002;2018-10-23 02:00:00
1540339200;175.82;177.86;175.82;176.56;5970.21697774;2018-10-24 02:00:00
1540425600;174.61;176.6;176.55;175.84;5916.6911218;2018-10-25 02:00:00
1540512000;175.41;179.69;175.84;176.52;7845.452002;2018-10-26 02:00:00
1540598400;176.22;177.5;176.49;177.22;2611.49222294;2018-10-27 02:00:00
1540684800;176.75;177.97;177.22;177.96;3072.70555817;2018-10-28 02:00:00
1540771200;168;178.24;177.97;171.25;10512.35145253;2018-10-29 01:00:00
1540857600;170.91;173.4;171.25;172.87;6888.65123247;2018-10-30 01:00:00
1540944000;169.83;176.42;172.87;174.22;7380.40398062;2018-10-31 01:00:00
1541030400;172.91;174.5;174.26;174.02;6162.37935642;2018-11-01 01:00:00
1541116800;173.54;177.18;174.03;176.28;7109.12570115;2018-11-02 01:00:00
1541203200;174.7;176.28;176.28;175.17;4727.96330802;2018-11-03 01:00:00
1541289600;174.55;191;175.14;184.74;13354.60026037;2018-11-04 01:00:00
1541376000;180.68;185.93;184.76;183.03;9841.89415655;2018-11-05 01:00:00
1541462400;182.24;192;183.05;191.61;13637.31783179;2018-11-06 01:00:00
1541548800;188.32;195;191.61;190.07;12847.30639;2018-11-07 01:00:00
1541635200;185;191.32;190.07;185.58;9994.7575991;2018-11-08 01:00:00
1541721600;182;187.74;185.6;184.18;9077.95064662;2018-11-09 01:00:00
1541808000;183.78;188;184.01;186.25;4819.13071587;2018-11-10 01:00:00
1541894400;182.57;186.85;186.25;185.95;4503.4999266;2018-11-11 01:00:00
1541980800;185.32;187.59;185.94;186.63;7226.58119173;2018-11-12 01:00:00
1542067200;180.55;186.59;186.59;180.6;9357.34707761;2018-11-13 01:00:00
1542153600;148.22;182.02;180.58;159.03;55897.78733022;2018-11-14 01:00:00
1542240000;147.21;162.83;159.03;157.6;26974.54098531;2018-11-15 01:00:00
1542326400;147.28;158;157.59;151.2;17048.35688547;2018-11-16 01:00:00
1542412800;149.34;152.51;151.2;151.26;6924.07785227;2018-11-17 01:00:00
1542499200;151.27;157.03;151.27;153.99;7022.79570689;2018-11-18 01:00:00
1542585600;125;154.26;153.99;127.43;48075.74256939;2018-11-19 01:00:00
1542672000;105.55;130.21;127.42;113.08;90217.23148912;2018-11-20 01:00:00
1542758400;107.61;121;112.87;118.61;34279.38676096;2018-11-21 01:00:00
1542844800;107.65;119.99;118.61;108.2;21263.17746296;2018-11-22 01:00:00
1542931200;102.05;110.44;108.22;107.88;31896.9508688;2018-11-23 01:00:00
1543017600;95.02;111.66;107.88;97.56;31519.92796329;2018-11-24 01:00:00
1543104000;86.53;104.76;97.56;101.02;60269.08714299;2018-11-25 01:00:00
1543190400;90.67;103.2;100.97;94;41297.82957362;2018-11-26 01:00:00
1543276800;88.15;98.68;94;96.37;30031.81106511;2018-11-27 01:00:00
1543363200;96.4;111.24;96.4;107.63;47544.63393373;2018-11-28 01:00:00
1543449600;99.81;108.96;107.65;102.53;30149.96039848;2018-11-29 01:00:00
1543536000;97.01;104.65;102.53;99.35;22053.5028647;2018-11-30 01:00:00
1543622400;97.19;106.38;99.3;103.94;15441.37744593;2018-12-01 01:00:00
1543708800;101.32;105.75;103.92;101.59;10733.21076431;2018-12-02 01:00:00
1543795200;92.84;101.93;101.84;94.81;22483.95406326;2018-12-03 01:00:00
1543881600;92.01;98.71;94.82;96.11;17179.17454618;2018-12-04 01:00:00
1543968000;89.02;96.58;96.11;89.04;24069.33403605;2018-12-05 01:00:00
1544054400;78.66;91;89.12;79.04;46449.10515355;2018-12-06 01:00:00
1544140800;72.35;85.31;79.04;81.84;83073.19930125;2018-12-07 01:00:00
1544227200;74.26;86.17;81.83;79.48;25250.77020991;2018-12-08 01:00:00
1544313600;78.02;86.94;79.48;81.85;19932.16381032;2018-12-09 01:00:00
1544400000;77.32;83.41;81.79;79.04;22831.52534869;2018-12-10 01:00:00
1544486400;75.51;80.23;79.05;77.17;20941.20045482;2018-12-11 01:00:00
1544572800;76.51;80.46;77;78.58;17670.18801477;2018-12-12 01:00:00
1544659200;74.26;79.9;78.5;75.41;23750.13649635;2018-12-13 01:00:00
1544745600;72.26;76.12;75.42;73.98;18897.63573018;2018-12-14 01:00:00
