DateTime,Aggregated Exchanges,Binance,Bitfinex,Bitstamp,Coinbase,Gemini,Huobi,Kraken,Luno,Okex,Poloniex,Price
2013-12-10T00:00:00.000Z,9.26954703,,,,-22.3644531,,,,31.53251305,,0.10148708,989.83
2013-12-11T00:00:00.000Z,16.99381355,,,,7.96045495,,,,2.96948899,,6.06386961,956.41
2013-12-12T00:00:00.000Z,-2.81944295,,,,-1.67585579,,,,4.27015893,,-5.41374609,890.25
2013-12-13T00:00:00.000Z,-12.02498037,,,,-0.12103125,,,,-4.6806845,,-7.22326462,936
2013-12-14T00:00:00.000Z,5.5049245,,,,5.18371613,,,,0.234737,,0.08647137,911.52
2013-12-15T00:00:00.000Z,0.68983351,,,,1.50678411,,,,-0.53804225,,-0.27890835,882.94
2013-12-16T00:00:00.000Z,14.1246464,,,,3.10462145,,,,6.73764768,,4.28237727,819.49
2013-12-17T00:00:00.000Z,-15.17021129,,,,-9.56353848,,,,-3.76111403,,-1.84555878,729.42
2013-12-18T00:00:00.000Z,11.43227955,,,,5.48712144,,,,26.88733092,,-20.94217281,585.92
2013-12-19T00:00:00.000Z,-5.28290891,,,,1.41979272,,,,-6.65934295,,-0.04335868,634.2
2013-12-20T00:00:00.000Z,16.61954034,,,,6.05873796,,,,9.68912466,,0.87167772,697.82
2013-12-21T00:00:00.000Z,17.71814081,,,,8.39987478,,,,10.00669194,,-0.68842591,650
2013-12-22T00:00:00.000Z,7.92884881,,,,0.48371285,,,,7.359207,,0.08592896,657.43
2013-12-23T00:00:00.000Z,-10.68083982,,,,-4.45587731,,,,-6.36273804,,0.13777553,677.96
2013-12-24T00:00:00.000Z,58.17074915,,,,62.91219597,,,,-4.88070584,,0.13925902,697.96
2013-12-25T00:00:00.000Z,-9.5041,,,,-9.97100271,,,,0.46486271,,0.00204,691.94
2013-12-26T00:00:00.000Z,8.0165886,,,,-1.7016557,,,,9.69268288,,0.02556142,768.42
2013-12-27T00:00:00.000Z,25.81721831,,,,9.52417016,,,,15.52288541,,0.77016274,802.35
2013-12-28T00:00:00.000Z,-11.3059254,,,,-5.48847746,,,,-5.91414662,,0.09669868,760.79
2013-12-29T00:00:00.000Z,9.6391436,,,,5.31569433,,,,4.1722899,,0.15115937,769.47
2013-12-30T00:00:00.000Z,1.85442788,,,,5.90834387,,,,-4.22514143,,0.17122544,799.9
2013-12-31T00:00:00.000Z,-24.55456929,,,,-6.44746688,,,,-18.82430695,,0.71720454,795.45
