Date;Risk
2016-05-02;21.742857142857
2016-05-09;20.857142857143
2016-05-16;20.557142857143
2016-05-23;22.228571428571
2016-05-30;26.428571428571
2016-06-06;30.771428571429
2016-06-13;39.757142857143
2016-06-20;37.128571428571
2016-06-27;38.657142857143
2016-07-04;38.742857142857
2016-07-11;37.471428571429
2016-07-18;35.228571428571
2016-07-25;33.985714285714
2016-08-01;28.157142857143
2016-08-08;28.771428571429
2016-08-15;26.914285714286
2016-08-22;26.671428571429
2016-08-29;26.7
2016-09-05;28.285714285714
2016-09-12;25.814285714286
2016-09-19;25.028571428571
2016-09-26;23.5
2016-10-03;21.5
2016-10-10;22.914285714286
2016-10-17;24.385714285714
2016-10-24;24.014285714286
2016-10-31;24.614285714286
2016-11-07;22.614285714286
2016-11-14;23.371428571429
2016-11-21;23.757142857143
2016-11-28;24.242857142857
2016-12-05;24.628571428571
2016-12-12;24.428571428571
2016-12-19;28.014285714286
2016-12-26;33.357142857143
2017-01-02;35.828571428571
2017-01-09;29.7
2017-01-16;33.285714285714
2017-01-23;34.457142857143
2017-01-30;35.771428571429
2017-02-06;35.8
2017-02-13;36.742857142857
2017-02-20;40.028571428571
2017-02-27;44.157142857143
2017-03-06;43.757142857143
2017-03-13;42.285714285714
2017-03-20;34.357142857143
2017-03-27;34.142857142857
2017-04-03;37.142857142857
2017-04-10;36.214285714286
2017-04-17;36.614285714286
2017-04-24;37.457142857143
2017-05-01;42.357142857143
2017-05-08;49.757142857143
2017-05-15;52.5
2017-05-22;55.614285714286
2017-05-29;57.442857142857
2017-06-05;61.428571428571
2017-06-12;59.485714285714
2017-06-19;60.3
2017-06-26;57.228571428571
2017-07-03;56.528571428571
2017-07-10;52.071428571429
2017-07-17;55.485714285714
2017-07-24;53.685714285714
2017-07-31;55.871428571429
2017-08-07;61.971428571429
2017-08-14;66.371428571429
2017-08-21;66.571428571429
2017-08-28;68.2
2017-09-04;67.728571428571
2017-09-11;64.171428571429
2017-09-18;63.285714285714
